source_name,source_type,access_status,source_url,terms_checked,result,notes
Existing Chart 4 / round 02 / round 03 packages,corpus_result,accessed,docs/research/artificial/chart_04_suspicion_distance/; docs/research/artificial/chart_04_suspicion_distance/expanded_corpus_round_02/; docs/research/artificial/chart_04_suspicion_distance/chart_04a_pejoration_trajectory_round_03/,all requested existing files,Read as baseline; not overwritten.,No full Ngram rerun.
OED,historical_dictionary,not_accessible,https://www.oed.com/,artificial; artificiality; artifice,unverified,Not accessible in this pass; still the strongest source needed for final dated sense chronology.
Etymonline,etymology_source,accessed,https://www.etymonline.com/word/artificial,artificial,not natural; made by art; imitation/substitute; affected/insincere; fictitious/not genuine,"Useful chronology pointer, but secondary."
Etymonline,etymology_source,accessed,https://www.etymonline.com/word/artificiality,artificiality,appearance of art; insincerity,Strengthens pre-1800 affected/insincere lexical authority.
Etymonline,etymology_source,accessed,https://www.etymonline.com/word/artifice,artifice,workmanship by craft/skill; crafty device/trick,Useful art-family support for skill-to-trick branch.
Johnson via Definitions.net,historical_dictionary,indirect_only,https://www.definitions.net/definition/artificial,artificial,made by art; not natural; fictitious; not genuine; artful,Direct Johnson still not stabilized; useful but must remain indirect.
Webster 1828,historical_dictionary,accessed,https://webstersdictionary1828.com/Dictionary/artificial,artificial,made/contrived by art; opposed to natural; feigned/fictitious/not genuine,"Checkpoint only, not origin."
Webster 1913,historical_dictionary,accessed,https://www.websters1913.com/words/Artificial,artificial,made by art; feigned; fictitious; not genuine or natural,Later comparison source; useful for continuity of sense inventory.
Merriam-Webster,historical_dictionary,accessed,https://www.merriam-webster.com/dictionary/artificial,artificial,human-made; not genuine or natural; affected; not spontaneous,Modern authority for live sense boundaries; not historical chronology proof.
Bailey / Ash / Sheridan / Walker,historical_dictionary,partially_accessed,,artificial,scan/search leads only,No stable entry extraction completed; keep as optional manual scan work.
FDA Color Additives History,regulatory_source,accessed,https://www.fda.gov/industry/color-additives/color-additives-history,artificial coloring,FDA historical page places synthetic organic dyes in the 1850s and food-use certification in the late 19th century.,Background for industrial/chemical food color context; not sentiment proof.
Scientific American lead,magazine_snippet,search_only,https://www.scientificamerican.com/article/artificial-coloring-of-food-products/,artificial coloring of food products,Scientific American title directly marks artificial coloring of food products as a period topic.,Search/discovery lead; needs page verification before quotation.
Ann Arbor Register: Food Adulteration,newspaper_snippet,accessed,https://aadl.org/node/521746,adulteration; imitation; genuine,Public newspaper item around food adulteration supplies nearby trust vocabulary for pure/genuine/imitation context.,Not an artificial phrase by itself; useful gap-context evidence.
The Port Gibson Reveille via Chronicling America,newspaper_snippet,accessed,https://chroniclingamerica.loc.gov/lccn/sn86090233/1904-05-12/ed-1/seq-6/,artificially colored,Food item contrasts a product not artificially colored with imitations colored by coal-tar dyes.,Earlier round lead retained as anchor; page image should be reviewed.
FDA milestones in food and drug law,regulatory_source,accessed,https://www.fda.gov/about-fda/fda-history/milestones-us-food-and-drug-law,artificial colors; adulteration,"FDA legal milestones frame food adulteration, color additives, and consumer protection across the early 20th century.","Regulatory continuity evidence, not a chart claim about sentiment."
Evening Star via Chronicling America,advertising_snippet,accessed,https://chroniclingamerica.loc.gov/lccn/sn83045462/1950-05-03/ed-1/seq-42/,no artificial flavoring,Kitchen Bouquet ad uses no artificial flavoring as a positive taste/trust distinction.,Retained as mid-century anchor.
JAMA / FDA / New Yorker cyclamate materials,secondary_literature,accessed,https://jamanetwork.com/journals/jama/fullarticle/349150; https://www.fda.gov/about-fda/fda-history/milestones-us-food-and-drug-law; https://www.newyorker.com/magazine/1969/11/01/comment-5253,artificial sweetener,Cyclamate/artificial-sweetener discourse gives a late-1960s consumer/regulatory scrutiny anchor.,No health claim; use only as scrutiny/reformulation context.
Nestle USA candy reformulation release,web_snippet,accessed,https://www.nestleusa.com/media/pressreleases/nestle-usa-removing-artificial-flavors-colors-from-chocolate-candy,remove artificial flavors and certified colors,Nestle announced removal of artificial flavors and certified colors from chocolate candy brands.,Strong pre-2019 reformulation/absence anchor.
Kraft Macaroni & Cheese recipe change,web_snippet,accessed,https://news.kraftheinzcompany.com/press-releases-details/2015/Kraft-Macaroni--Cheese-Announces-Recipe-Change/default.aspx,"no artificial flavors, preservatives or synthetic colors","Kraft announced recipe changes using no artificial flavors, preservatives, or synthetic colors.",Strong pre-clean-label transition anchor.
General Mills cereals announcement,web_snippet,accessed,https://www.generalmills.com/news/press-releases/general-mills-cereals-commits-to-remove-artificial-flavors-and-colors-from-artificial-sources,remove artificial flavors and colors from artificial sources,General Mills announced a cereal portfolio commitment to remove artificial flavors and colors from artificial sources.,Useful 2010s mass-market food anchor.
FDA no artificial colors labeling letter,regulatory_source,accessed,https://www.fda.gov/food/food-chemical-safety/letter-food-industry-no-artificial-colors-labeling-claims,no artificial colors,FDA addresses voluntary no artificial colors claims for foods without certified colors.,Strong official modern hardening evidence.
Kraft Heinz FD&C colors commitment,web_snippet,accessed,https://news.kraftheinzcompany.com/press-releases-details/2025/Kraft-Heinz-Commits-to-Remove-FDC-Colors-From-Its-U-S--Portfolio-Before-the-End-of-2027-and-Will-Not-Launch-New-Products-in-the-U-S--With-FDC-Colors-Effective-Immediately/default.aspx,remove FD&C colors,Kraft Heinz committed to remove certified colors from its U.S. portfolio and not launch new U.S. products with them.,Modern reformulation-away-from-artificial-color anchor.
PepsiCo / Gatorade,packaging_claim,accessed,https://www.pepsico.com/en/newsroom/press-releases/2026/gatorade-lower-sugar-brings-a-new-era-of-hydration-with-no-artificial-flavors-sweeteners-or-colors,"no artificial flavors, sweeteners or colors","Gatorade launch copy foregrounds absence of artificial flavors, sweeteners, and colors.",Modern product positioning evidence.
Swanson 50% Less Sodium Beef Broth,packaging_claim,accessed,https://www.campbells.com/swanson/products/broth/50-less-sodium-beef-broth/,no artificial ingredients,"Product page clusters no artificial ingredients with no MSG added, no preservatives, and gluten-free language.",Product page may change.
IFT / Freedonia clean-label sources,industry_report,accessed,https://www.ift.org/food-technology-magazine/ingredients-clean-label; https://www.freedoniagroup.com/press-releases/new-report-consumers-crave-transparency-clean-label-foods-on-the-rise,clean label; artificial or synthetic,Clean-label sources connect simple/recognizable ingredients with avoiding artificial or synthetic additives.,Industry/secondary context; not balanced corpus.
Merriam-Webster and Oxford learner sources,modern_dictionary,accessed,https://www.merriam-webster.com/dictionary/artificial; https://www.merriam-webster.com/dictionary/fake; https://www.oxfordlearnersdictionaries.com/definition/english/artificial,artificial; fake,Separates artificial as made/produced by people or not natural from fake as not genuine or counterfeit.,Useful distinction; still needs corpus examples.
Johnson indirect / Webster 1828 / modern dictionaries,historical_dictionary,accessed,https://www.definitions.net/definition/artificial; https://webstersdictionary1828.com/Dictionary/artificial,artificial; genuine,Shows artificial can be defined as not genuine while also preserving not-natural as a separate sense.,Direct Johnson/OED needed for hard chronology.
Cambridge Thesaurus / Merriam-Webster,modern_dictionary,accessed,https://dictionary.cambridge.org/us/thesaurus/articles/made-by-humans; https://www.merriam-webster.com/dictionary/synthetic,artificial; synthetic,Helps separate artificial as human-made/not natural from synthetic as chemically or artificially produced.,Needs term-pair contextual corpus later.
Etymonline / Cambridge / Oxford,modern_dictionary,accessed,https://www.etymonline.com/word/artificial; https://dictionary.cambridge.org/us/thesaurus/articles/made-by-humans; https://www.oxfordlearnersdictionaries.com/definition/english/artificial,artificial imitation; imitation,Useful for substitute/copy branch without collapsing every artificial use into deception.,Needs snippet examples.
Consumer Reports natural label guide / Webster 1828,consumer_report,accessed,https://www.consumerreports.org/food-labels/seals-and-claims/natural; https://webstersdictionary1828.com/Dictionary/artificial,artificial; natural,Connects historical not-natural sense with modern consumer expectations around natural labels.,Good bridge from 4A to 4B.
WordReference / Oxford learner source,modern_dictionary,accessed,https://www.wordreference.com/definition/artificial; https://www.oxfordlearnersdictionaries.com/definition/english/artificial,artificial; authentic,"Useful modern comparator around sincerity, authenticity, and not genuine senses.",Needs dedicated Chart 4B source pass.
Oxford learner source / WordReference,modern_dictionary,accessed,https://www.oxfordlearnersdictionaries.com/definition/english/artificial; https://www.wordreference.com/definition/artificial,artificial; realistic; real,Flags real/realistic as separate comparators from fake/genuine.,Only a lead; needs more targeted collection.
