id,phrase_or_context,source_period,year_or_period,source_name,source_type,source_url,context_type,semantic_relation,confidence,short_summary,chart4b_value,needs_followup,notes
c001,artificial tears,pre_1800,1590s,Henry VI Part 3,book_snippet,https://www.gutenberg.org/files/1502/1502-h/1502-h.htm,artificial_fake_adjacent,drift,high,Artificial marks feigned emotion and therefore moves toward fake or sham rather than neutral manufacture.,high,true,Edition review still useful before public quotation.
c002,artificial manners,pre_1800,1787,Thoughts on the Education of Daughters,book_snippet,https://www.gutenberg.org/ebooks/67466.html.images,artificial_vs_genuine,contrast,high,Artificial manners are opposed to genuine feeling and sincerity.,high,false,Strong human behavior evidence.
c003,artificial as made by art and not natural plus feigned not genuine,1800_1850,1828,Webster 1828,historical_dictionary,https://webstersdictionary1828.com/Dictionary/artificial,artificial_neutral_constructed,not_equivalent,high,The same entry contains both made by art and feigned or not genuine senses which supports a trajectory model.,high,false,Best compact historical split.
c004,artificial satellite,2019_2026,current,WordReference,learner_dictionary,https://www.wordreference.com/definition/artificial,artificial_not_fake,not_equivalent,high,Artificial can simply mean human made and non natural with no sham implication.,high,false,Clearest modern non fake case.
c005,artificially colored,1900_1950,1904,The Port Gibson Reveille,newspaper_snippet,https://chroniclingamerica.loc.gov/lccn/sn86090233/1904-05-12/ed-1/seq-6/,artificial_synthetic,near_neighbor,medium,Food context links artificial to additives and trust concerns rather than to direct counterfeiting.,medium,true,OCR caution.
c006,no artificial flavoring,1950_2000,1950,Evening Star,advertising_snippet,https://chroniclingamerica.loc.gov/lccn/sn83045462/1950-05-03/ed-1/seq-42/,artificial_vs_natural,drift,medium,Absence claim shows artificial as a negative consumer marker while still not making it a synonym of fake.,high,true,Verify page image if quoted later.
c007,artificial flavor and artificial color,2019_2026,current,21 CFR 101.22,regulatory_source,https://ecfr.io/Title-21/Section-101.22,artificial_synthetic,near_neighbor,high,Regulation normalizes artificial as an industrial category for flavor and color labeling.,medium,false,Background category not sentiment proof.
c008,no artificial colors,2019_2026,2026,FDA,regulatory_source,https://www.fda.gov/food/food-chemical-safety/letter-food-industry-no-artificial-colors-labeling-claims,artificial_vs_natural,drift,high,Official labeling discourse treats artificial as a live consumer contrast term.,high,false,Good modern evidence of negative charge around additives.
c009,realistic artificial skin,2019_2026,current,Merriam-Webster realistic entry,dictionary_example,https://www.merriam-webster.com/dictionary/realistic,artificial_realistic,near_neighbor,high,An artificial object can be realistic by resembling the natural or real while remaining artificial.,high,false,Essential realistic versus real boundary.
c010,realistic artificial flowers,2019_2026,2025,modern news snippet,news_snippet,https://www.thetimes.com/uk/environment/article/alan-titchmarsh-flower-fake-srgk9k2hz,artificial_realistic,near_neighbor,medium,Modern usage highlights lifelike resemblance and practicality rather than deception.,medium,true,Secondary source only.
c011,imitation leather,2019_2026,current,WordReference imitation entry,learner_dictionary,https://www.wordreference.com/definition/imitation,artificial_imitation,near_neighbor,high,Imitation foregrounds copied resemblance and a genuine reference object.,medium,false,Shows why imitation is closer to substitute than to neutral manufacture.
c012,simulated combat and simulated crashes,2019_2026,current,Merriam-Webster simulated entry,dictionary_example,https://www.merriam-webster.com/dictionary/simulated,artificial_realistic,near_neighbor,medium,Simulated often means modeled or staged rather than simply human made.,medium,true,Helpful but still dictionary led.
c013,natural foods and natural ingredients,2019_2026,current,WordReference natural entry,learner_dictionary,https://www.wordreference.com/definition/natural,artificial_vs_natural,contrast,high,Natural directly opposes artificial in origin and food processing discourse.,high,false,Do not collapse with genuine.
c014,real antique and real diamond,2019_2026,current,WordReference real entry,learner_dictionary,https://www.wordreference.com/definition/real,artificial_vs_real,contrast,high,Real directly opposes artificial counterfeit and imitation terms in authenticity uses.,high,false,Separate from realistic.
