id,term_or_phrase,source_period,year_or_period,source_name,source_type,source_url,evidence_kind,sense_or_usage,confidence,short_summary,chart4_relevance,needs_followup,notes
e001,artificial,pre_1800,late 14c.-1640s chronology,Etymonline,etymology_source,https://www.etymonline.com/word/artificial,definition,not_natural,medium,Secondary chronology reports early not-natural/spontaneous and made-by-skill senses.,high,true,OED or primary quotations needed before final dating.
e002,artificial,pre_1800,1590s/1640s chronology,Etymonline,etymology_source,https://www.etymonline.com/word/artificial,definition,affected_insincere,medium,Secondary source dates affected/insincere and fictitious/not-genuine branches before 1800.,high,true,"Use as chronology pointer, not final proof."
e003,artificiality,pre_1800,1763,Etymonline,etymology_source,https://www.etymonline.com/word/artificiality,definition,affected_insincere,medium,Artificiality is recorded with appearance-of-art and insincerity sense.,medium,true,Good abstract-noun lead.
e004,artificial tears,pre_1800,1590s play,"Henry VI, Part 3",book_snippet,https://www.gutenberg.org/files/1502/1502-h/1502-h.htm,snippet,fake_not_genuine,high,Feigned-emotion use where tears are part of a deceptive performance.,high,true,Verify source edition and quotation if used publicly.
e005,artificial manners,pre_1800,1787,Thoughts on the Education of Daughters,book_snippet,https://www.gutenberg.org/ebooks/67466.html.images,snippet,affected_insincere,high,Wollstonecraft explicitly frames artificial manners as affectation rather than genuine feeling.,high,false,Strong pre-1800 social/affective evidence.
e006,artificial manner,pre_1800,1773,An Explanatory Discourse by Tan Chet-qua,book_snippet,https://www.gutenberg.org/cache/epub/39803/pg39803-images.html,snippet,unclear_or_mixed,medium,Aesthetic/gardening use ties artificial manner to art/nature contrast and nearby affectation vocabulary.,medium,true,Not direct social insincerity.
e007,artificial,pre_1800,1755/1773 indirect transcription,Johnson via Definitions.net,historical_dictionary,https://www.definitions.net/definition/artificial,definition,fake_not_genuine,medium,Indirect Johnson-attributed entry separates not-natural from fictitious/not-genuine.,high,true,Direct Johnson scan/manual entry check remains required.
e008,artificial,1800_2019,1828 checkpoint,Webster 1828,historical_dictionary,https://webstersdictionary1828.com/Dictionary/artificial,definition,fake_not_genuine,high,Checkpoint dictionary keeps made-by-art/not-natural separate from feigned/fictitious/not-genuine.,medium,false,Not origin evidence.
e009,Chart 4 Ngram baseline,1800_2019,1800-2019,Existing Chart 4 Ngram package,corpus_result,docs/research/artificial/chart_04_suspicion_distance/,context_signal,semantic_distance,medium,"Existing Ngram pass collected 140 term/group records; 137 collected, 3 missing, no sparse/error.",background,false,Used as baseline only. Not rerun.
e010,artificially colored,1800_2019,1904-05-12,The Port Gibson Reveille via Chronicling America,newspaper_snippet,https://chroniclingamerica.loc.gov/lccn/sn86090233/1904-05-12/ed-1/seq-6/,context_signal,consumer_suspicion,medium,"Food item discusses alleged jam, coal-tar dyes, and a product not artificially colored.",medium,true,OCR/page review needed.
e011,no artificial flavoring,1800_2019,1950-05-03,Evening Star via Chronicling America,advertising_snippet,https://chroniclingamerica.loc.gov/lccn/sn83045462/1950-05-03/ed-1/seq-42/,advertising_claim,absence_claim,medium,Ad uses no artificial flavoring as a positive product distinction.,high,true,Verify image before final quotation.
e012,artificial flavor; artificial color,post_2019,current CFR,21 CFR 101.22,regulatory_source,https://ecfr.io/Title-21/Section-101.22,regulatory_definition,regulatory_labeling,high,Federal labeling regulation defines artificial flavor/flavoring and artificial color/coloring.,background,false,Background only; not suspicion proof.
e013,no artificial colors,post_2019,2026-02-05,FDA no artificial colors labeling letter,regulatory_source,https://www.fda.gov/food/food-chemical-safety/letter-food-industry-no-artificial-colors-labeling-claims,regulatory_definition,regulatory_labeling,high,FDA addresses voluntary no artificial colors claims for foods without FD&C Act certified colors.,high,false,Recent official evidence of active absence-claim category.
e014,"no artificial flavors, sweeteners or colors",post_2019,2026-03-04,PepsiCo / Gatorade,web_snippet,https://www.pepsico.com/en/newsroom/press-releases/2026/gatorade-lower-sugar-brings-a-new-era-of-hydration-with-no-artificial-flavors-sweeteners-or-colors,packaging_claim,absence_claim,high,"Product launch copy foregrounds absence of artificial flavors, sweeteners, and colors.",high,false,Brand source.
e015,no artificial ingredients,post_2019,current product page,Swanson 50% Less Sodium Beef Broth,web_snippet,https://www.campbells.com/swanson/products/broth/50-less-sodium-beef-broth/,packaging_claim,absence_claim,high,Product page uses no artificial ingredients in a cluster of clean-label style claims.,high,false,Current product-page evidence.
e016,natural; artificial ingredients,post_2019,current page,Consumer Reports Natural label guide,secondary_literature,https://www.consumerreports.org/food-labels/seals-and-claims/natural,context_signal,semantic_distance,medium,Consumer-label guide links consumer expectations of natural to no artificial ingredients.,medium,true,Consumer expectation context only.
e017,clean label,post_2019,2021-2024,IFT and Freedonia/Packaged Facts,secondary_literature,https://www.ift.org/food-technology-magazine/ingredients-clean-label; https://www.freedoniagroup.com/press-releases/new-report-consumers-crave-transparency-clean-label-foods-on-the-rise,context_signal,consumer_suspicion,medium,Clean-label sources connect simple/recognizable ingredients with avoiding artificial/synthetic additives.,medium,true,Secondary source width; not balanced corpus evidence.
e018,artificial; fake; synthetic; imitation; real,post_2019,current dictionary/thesaurus,Cambridge / WordReference / Oxford learner sources,modern_dictionary,https://dictionary.cambridge.org/us/thesaurus/articles/made-by-humans; https://www.wordreference.com/definition/artificial; https://www.oxfordlearnersdictionaries.com/definition/english/artificial,definition,semantic_distance,medium,Modern dictionary/thesaurus sources distinguish artificial from natural/real and from fake/false/imitation/synthetic.,medium,false,"Use for semantic boundaries, not claims of change."
