term_or_basin,suggested_position,why,evidence_summary,risk,confidence,notes
artificial,near_artificial_core,Artificial is the moving center that spans made non natural substitute and contrived uses,WordReference and Webster 1828 both show a split sense inventory,Polysemy can tempt overcompression,Model as trajectory not fixed synonym.
synthetic,between_artificial_and_synthetic,Synthetic shares non natural and industrial material senses but is more chemically specific,WordReference synthetic plus food labeling evidence,Figurative synthetic can drift toward fake,Very strong near neighbor.
imitation,near_artificial_contextual,Imitation shares substitute and resemblance logic but presupposes a model to copy,WordReference imitation plus artificial flowers context,Not every artificial thing imitates,Good side attractor.
simulated,between_artificial_and_realistic,Simulated bridges appearance modeling and staged scenarios more than general manufacture,Merriam-Webster simulated plus realistic evidence,Need more corpus outside dictionary,Useful bridge to realistic.
realistic,between_artificial_and_realistic,Realistic can modify artificial things by describing convincing resemblance rather than actual reality,Merriam-Webster realistic example of artificial skin,Could be mistaken for real if labels are too tight,Key bridge term.
fake,between_artificial_and_fake,Fake is where artificial drifts in feigned or not genuine contexts but it is not the default meaning,Merriam-Webster fake plus artificial tears and manners,Thesaurus synonym lists can overstate equivalence,Place as strong attractor not same node.
genuine,contrast_to_artificial,Genuine is an authenticity and sincerity anchor opposed to feigned or copied artificial uses,WordReference genuine plus artificial manners,May overmerge with authentic if not labeled,Important contrast pole.
authentic,contrast_to_artificial,Authentic adds authority provenance and trust to the contrast field,Merriam-Webster authentic,Some uses allow faithful reproductions,Keep near genuine but separate.
natural,contrast_to_artificial,Natural is the strongest origin contrast and a major consumer language opposite,WordReference natural plus Webster 1828 natural,Not identical with genuine,Essential contrast field.
real,distant_from_artificial,Real anchors actuality and genuineness and should not be merged with realistic,WordReference real and Webster 1828 real,Very broad term with philosophical senses,Keep as contrast anchor.
processed,near_artificial_contextual,Processed belongs in the industrial and consumer orbit around artificial rather than in the fake basin,Processed dictionary entry plus additive labeling evidence,Health discourse may load it negatively,Secondary bridge.
constructed,near_artificial_core,Constructed is close to the neutral made branch at the center of artificial,WordReference constructed,Abstract construct senses could distract,Core overlap.
manufactured,between_artificial_and_synthetic,Manufactured tracks industrial production and sits between neutral constructed and processed consumer zones,WordReference manufactured,Figurative made up sense can muddy placement,Industrial bridge.
