term,primary_basin,secondary_basin,why_assigned,relationship_to_artificial,evidence_strength,risk,notes
artificial,made_constructed,synthetic_material,Term spans human made not natural substitute and contrived senses and therefore sits as a trajectory rather than a single point,core_overlap,high,Polysemy can flatten the model,Central moving term.
fake,fake_deceptive,imitation_substitute,Fake centers on non genuine deceptive or sham status and only overlaps artificial in some substitute or feigned contexts,drift_target,high,Some casual uses are less deceit loaded,Not equivalent.
false,fake_deceptive,unclear_or_mixed,False covers untruth deception and substitute senses and is broader than object authenticity alone,contextual_neighbor,medium,Breadth makes placement unstable,Needs context control.
counterfeit,fake_deceptive,imitation_substitute,Counterfeit is imitation with intent to deceive and anchors the strongest fraud side,distant_neighbor,high,Narrow monetary and legal bias,Closer to fake than artificial.
sham,fake_deceptive,genuine_authentic,Sham names pretense and counterfeit display and aligns with artificial manners and tears at the feigned edge,contextual_neighbor,high,Often event or performance specific,Social falseness term.
synthetic,synthetic_material,made_constructed,Synthetic centers on chemically produced materials and additives and shares the not natural branch strongly,near_neighbor,high,Some figurative senses approach fake,Material neighbor.
imitation,imitation_substitute,fake_deceptive,Imitation centers on copying a genuine model and often names substitute goods,near_neighbor,high,Some imitation is non deceptive,Copy branch.
simulated,simulated_realistic,imitation_substitute,Simulated centers on modeled appearance or scenario and bridges toward realism rather than raw manufacture,near_neighbor,medium,Technical and deceptive uses diverge,Bridge basin.
realistic,simulated_realistic,natural_real,Realistic marks convincing resemblance to the real and often modifies artificial objects,contextual_neighbor,high,Could be misread as real if overcompressed,Bridge not endpoint.
real,natural_real,genuine_authentic,Real names actual existence or genuineness and acts as a strong contrast anchor,contrast_term,high,Some senses are very broad,Keep separate from realistic.
genuine,genuine_authentic,natural_real,Genuine stresses claimed origin and sincerity and sharply opposes feigned artificial uses,contrast_term,high,Can overlap authentic and real too tightly,Best sincerity contrast.
authentic,genuine_authentic,natural_real,Authentic adds authority and verified origin rather than mere naturalness,contrast_term,high,May be overmerged with genuine,Provenance contrast.
natural,natural_real,genuine_authentic,Natural opposes artificial in origin and often in spontaneity or food processing discourse,contrast_term,high,Not every natural use is authenticity coded,Major opposite field.
constructed,made_constructed,simulated_realistic,Constructed is a neutral build term close to the core made sense of artificial,near_neighbor,high,Abstract construct senses could distract,Strong core neighbor.
manufactured,made_constructed,processed_consumer,Manufactured is industrially produced and near artificial in non natural object contexts,near_neighbor,medium,Figurative made up sense can muddy placement,Industrial neighbor.
processed,processed_consumer,made_constructed,Processed belongs to the consumer additive and industrial treatment field rather than direct imitation,contextual_neighbor,high,Consumer health discourse may overcolor it,Useful bridge basin.
