source_name,url,access_status,searched_for,result,limitations
Oxford English Dictionary,https://www.oed.com/,not_accessible,artificial; artifice; artificer; artificially; artificial day,Not accessed in this environment.,Subscription source; use later for earliest quotations and exact sense order.
Middle English Dictionary,https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary,search_only,artificial; artifice; artificer,Search did not surface stable exact entries for the target terms.,Further interface-specific searching may be needed.
Etymonline artificial,https://www.etymonline.com/word/artificial,accessed,artificial; artificial day; sense chronology,Late 14c. / early 15c. claimed chronology and word-family etymology captured.,Secondary source; date claims require OED/primary verification.
Etymonline artificially,https://www.etymonline.com/word/artificially,accessed,artificially,Early 15c. adverbial sense by art or human skill and contrivance captured.,Secondary source; date claims require OED/primary verification.
Merriam-Webster artificial,https://www.merriam-webster.com/dictionary/artificial,accessed,Middle English artificial; etymology,15th-century first known use and Latin ars/facere etymology captured.,Modern dictionary; not a quotation database.
Johnson's Dictionary Online,https://johnsonsdictionaryonline.com/views/search.php?term=artificial,partially_accessed,artificial; artifice; artificer,"Search pages accessible, but direct stable entry text not captured.",Requires manual site interaction or page-image lookup.
Johnson via secondary sources,https://www.definitions.net/definition/artifice,accessed_secondary,Johnson artifice; Johnson artificial,Secondary artifice entry captured; artificial entry referenced by scholarly snippet from 1773/1755.,Not a substitute for direct Johnson source.
"Project Gutenberg: Richard Sherry, A Treatise of Schemes and Tropes",https://www.gutenberg.org/files/28447/28447-h/28447-h.htm,accessed,artificiall / vnartificial rhetorical proofs,1550 rhetorical artificiall/vnartificial proof distinction captured.,Facsimile reproduction/transcription; still public-domain and stable.
"EEBO / OTA: Thomas Wilson, The Arte of Rhetorique",https://ota.bodleian.ox.ac.uk/repository/xmlui/bitstream/handle/20.500.12024/3153/3153.html?isAllowed=y&sequence=6,accessed,artificiall memory,1553 natural/artificiall memory division captured.,Early spelling and transcription conventions require care.
University of Texas: Rhetorica ad Herennium memory passage,https://www.laits.utexas.edu/memoria/Ad_Herennium_Passages.html,accessed,artificial memory concept,Natural vs artificial memory concept captured.,"Classical source/translation; concept history, not English first-use proof."
MAA: Napier and logarithms,https://old.maa.org/press/periodicals/convergence/napiers-binary-chessboard-calculator-napier-and-logarithms,accessed,artificial numbers,Napier's artificial numbers/logarithms context captured.,"Secondary history of mathematics source, but reliable and dated to 1614/1619 context."
Wikisource / Britannica: Napier,https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Napier%2C_John,accessed,artificial numbers,Public-domain encyclopedia confirmation that Napier used artificial numbers before logarithm naming.,Post-1828 encyclopedia about pre-1828 text.
Bailey / Ash / Sheridan / Walker,,search_only,artificial; artifice; artificer,No stable useful direct extract captured in this pass.,Could be checked via scans later if needed; Johnson/Webster/Century already cover key boundary.
