priority,item,period,domain,needed_source_type,current_status,chart_mapping_status,notes
1,"artificial smile","pre_1800","false_emotion","book_snippet; historical_dictionary","lead_only","mapped_as_hover_lead","Needs harder snippet or lexical authority before becoming a primary anchor."
1,"artificial sentiment","pre_1800","false_emotion","book_snippet; historical_dictionary","lead_only","mapped_as_hover_lead","Currently represented as a weak false-emotion cue."
1,"artificial passion","pre_1800","false_emotion","book_snippet; historical_dictionary","lead_only","mapped_as_hover_lead","Candidate early affective charge; needs direct snippet review."
1,"artificially affected","pre_1800","affected_manners","historical_dictionary; book_snippet","lead_only","mapped_as_hover_lead","High value because it directly connects artificial to affectedness."
1,"artificial affectation","pre_1800","affected_manners","historical_dictionary; book_snippet","not_yet_mapped","queued","Search as a companion phrase to artificially affected."
1,"artificial and false","pre_1800","fake_not_genuine","book_snippet; historical_dictionary","not_yet_mapped","queued","Useful for early negative potential inside Chart 4A."
1,"food trust / adulterated / pure / genuine","1850_1900","processed_consumer","newspaper_snippet; advertising_snippet; magazine_snippet","thin","mapped_as_gap_node","Need representative anchors tying artificial to purity, imitation, adulteration, and consumer trust."
1,"artificial color / colour / coloring / colouring","1850_1900","industrial_synthetic","newspaper_snippet; magazine_snippet; regulatory_source","partially_filled","mapped_as_primary_and_shell","Existing anchor is usable, but direct advertising examples would harden it."
2,"artificial flavor / flavour","1900_1950","processed_consumer","newspaper_snippet; advertising_snippet; magazine_snippet","thin","mapped_as_hover_lead","Needs decade anchors before 1950."
2,"artificially colored / coloured","1900_1950","processed_consumer","newspaper_snippet; advertising_snippet","partially_filled","mapped_as_primary","1904 anchor exists; continuity in 1910s-1940s remains thin."
2,"no artificial flavoring","1900_1950","absence_claim","advertising_snippet","partially_filled","mapped_as_primary","1950 anchor exists; look for earlier/later repetitions."
2,"artificial preservatives","1950_2019","processed_consumer","newspaper_snippet; magazine_snippet; packaging_claim","thin","mapped_as_hover_lead","Needs stronger decade continuity."
2,"nothing artificial","1950_2019","absence_claim","advertising_snippet; packaging_claim; brand_page","thin","mapped_as_hover_lead","Good avoidance phrase; source width still thin."
2,"all natural","1950_2019","modern_authenticity","advertising_snippet; packaging_claim; consumer_report","not_yet_mapped","queued","Comparator phrase for artificial absence language."
2,"avoid artificial additives","2000_2026","consumer_avoidance","brand_page; consumer_report; industry_report","partially_filled","mapped_as_hover_lead","Useful only when phrased around removing or avoiding artificial ingredients/additives."
1,"no artificial ingredients","2019_2026","absence_claim","brand_page; packaging_claim; news_snippet","partially_filled","mapped_as_absence_shell","Needs more brand/package examples."
1,"no artificial colors / flavours / flavors","2019_2026","absence_claim","FDA; brand_page; packaging_claim","filled_but_expandable","mapped_as_primary","Modern hardening evidence is strongest here."
2,"clean label","2019_2026","modern_authenticity","industry_report; consumer_report","partially_filled","mapped_as_hover_lead","Needs careful framing because it is not itself an artificial phrase."
