source_layer,target_layer,source_term,target_term,relation_type,relation_strength,evidence_summary,notes
body_support,body_support,artificial respiration,mechanical ventilation,support_modernization,strong,MeSH lists mechanical ventilation as an entry term under artificial respiration.,Use as intralayer bridge.
body_support,body_support,artificial feeding,nutritional support,support_modernization,strong,MeSH maps Artificial Feeding to Nutritional Support.,Strong support mode distinction.
body_support,body_replacement,life support,artificial heart,support_to_replacement,medium,Life support sustains/prolongs life; artificial heart replaces pumping function.,"Conceptual bridge, not causal proof."
body_support,body_replacement,life support,artificial kidney,support_to_replacement,medium,Renal dialysis/kidney artificial evidence sits in replacement therapy and life-prolonging care contexts.,Needs historical snippet if chart uses explicit line.
body_replacement,body_replacement,artificial limb,prosthesis,replacement_synonym_bridge,strong,MeSH defines artificial limbs as prosthetic replacements.,Good layer-internal connector.
body_replacement,reproduction_continuation,artificial organ,artificial womb,replacement_to_continuation,weak,Artificial womb is closer to extracorporeal gestational support than conventional organ replacement.,Mark as weak/edge; avoid causal line.
reproduction_continuation,reproduction_continuation,artificial insemination,artificial fertilization,continuation_chain,medium,Both intervene in reproductive process; artificial insemination facilitates fertilization.,Needs older textual history if emphasized.
reproduction_continuation,reproduction_continuation,artificial fertilization,in vitro fertilization,continuation_modernization,strong,MeSH IVF definition covers direct handling/manipulation to achieve fertilization in vitro.,Good transition from older phrase to modern technique.
reproduction_continuation,human_process_cognition_presence,artificial womb,artificial life,continuation_to_life_process_simulation,weak,Artificial womb is biological support/gestation; artificial life is computational life-process simulation.,Use as conceptual bridge only.
human_process_cognition_presence,human_process_cognition_presence,artificial life,artificial intelligence,life_process_to_cognition,medium,Britannica notes A-life overlaps with adaptive systems and neural networks/AI questions.,Do not imply origin.
human_process_cognition_presence,human_process_cognition_presence,artificial language,artificial intelligence,symbolic_process_to_cognition,medium,Artificial language predates AI and provides a human symbolic-process anchor.,Useful to keep language visible before AI.
human_process_cognition_presence,human_process_cognition_presence,artificial neural network,artificial intelligence,cognitive_model_to_ai,strong,Britannica places neural networks in AI and cognitive computing.,Strong top-layer connector.
human_process_cognition_presence,human_process_cognition_presence,artificial voice,AI voice,voice_presence_policy,strong,FCC ruling links artificial voice language to AI-generated human voices and voice cloning.,Modern presence connector.
human_process_cognition_presence,human_process_cognition_presence,artificial voice,artificial companion,voice_to_social_presence,weak,"Voice/presence can support companion systems, but current evidence is more topical than historical.",Keep dotted if used.
human_process_cognition_presence,human_process_cognition_presence,artificial intelligence,artificial consciousness,ai_to_consciousness_edge,speculative,Artificial consciousness source stresses discipline remains theoretically obstructed.,Dotted edge/notes-only.
human_process_cognition_presence,human_process_cognition_presence,artificial intelligence,artificial general intelligence,ai_to_agi_edge,speculative,Britannica frames AGI as controversial and out of reach.,Hype-sensitive; notes-only likely.
